TEMPLATE_ID,SUBJECT_ID,FILE,MEDIA_ID,SIGHTING_ID,FRAME,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_BASE_X,NOSE_BASE_Y,FACE_YAW,FOREHEAD_VISIBLE,EYES_VISIBLE,NOSE_MOUTH_VISIBLE,INDOOR,GENDER,SKIN_TONE,AGE,FACIAL_HAIR
5499,2102,img/10281.jpg,10281,28739,,93.71428571,34.42857143,83.28571429,107.5714286,99.77777778,92.22222222,118.2,94.4,106.75,113.4166667,-27.5948,1,1,1,1,0,1,4,0
5499,2102,img/10289.jpg,10289,28053,,328,37,586,664,786.7272727,441.1818182,,,829.4444444,526.1111111,,0,1,1,0,0,1,,0
5499,2102,img/10288.jpg,10288,27895,,278,296,341,320,489,409,571,403,538,494,,,,,1,0,1,,0
344,1592,img/8139.jpg,8139,26895,,3367.666667,490.6666667,264.3333333,332.6666667,3431.7,669.3,3497,659.3333333,3458.846154,717.6923077,-25.6064,1,1,1,0,1,1,,0
345,1592,img/8152.jpg,8152,28687,,2381.833333,813,294.3333333,340.1666667,2444.7,988.8,2492.5,988.2,2458.583333,1042.416667,-27.1731,1,1,1,1,1,1,4,0
346,1592,img/8146.jpg,8146,21810,,2471,408,313,391,2502,556,2539,551,2504,644,,,,,1,1,1,,0
347,1592,img/8181.jpg,8181,23626,,1753.714286,1011.285714,186.5714286,260.4285714,1839.666667,1150.888889,1896.727273,1150.727273,211,114,-0.09441,1,1,1,0,1,1,4,0
341,2638,img/34239.png,34239,60367,,507,132,475,523,864.2857143,373,943.1428571,370.7142857,,,35.1206,1,0,1,0,1,1,3,0
341,2638,img/34243.jpg,34243,60371,,1739,259,1163,1492,2124.833333,956.8333333,2529.5,968.75,,,0.520736,1,0,1,1,1,1,3,0
341,2638,img/34244.jpg,34244,60372,,428,244,538,661,563.2857143,627.1428571,707,558,664.3333333,705.6666667,-18.4963,1,0,1,1,1,1,3,0
341,2638,img/34245.jpg,34245,60373,,600,348,607,885,843.3333333,781.1666667,1061.2,819,,,7.04372,1,0,1,1,1,1,4,0
341,2638,img/34247.jpg,34247,60375,,1841,11,2114,2199,2948.2,597.8,3659.75,804.25,,,17.0973,0,0,1,1,1,1,3,0
341,2638,img/34250.jpg,34250,60378,,683,240,1065,1414,1166.166667,861.8333333,1555.2,967.8,,,19.2352,1,0,1,1,1,1,3,0
342,1592,img/8175.jpg,8175,28823,,3353.142857,362.8571429,698.2857143,889.2857143,,,,,3428.666667,971.3333333,,1,1,1,0,1,1,4,0
342,1592,img/8145.jpg,8145,28486,,1398.5,839,439,594.5,1665.777778,1128.555556,1786.090909,1159.272727,1742.461538,1244.230769,23.3643,1,1,1,1,1,1,4,0
342,1592,img/8124.jpg,8124,27380,,1136,560,1344,1752,2148,1248,,,2280,1672,,,,,1,1,1,,0
342,1592,img/8110.jpg,8110,27453,,1865,200.7142857,620.8571429,829.2857143,1982.6,568.1,2167.111111,607.8888889,2014,703,-15.6863,1,1,1,1,1,1,3,0
342,1592,img/8096.jpg,8096,26554,,132.7142857,97.14285714,53.71428571,67.14285714,156.8181818,126,171.1,122.5,173.3076923,135.3846154,,1,1,1,1,1,1,3,0
342,1592,img/8141.jpg,8141,25239,,2592.666667,786.5,789.3333333,904.6666667,2774.3,1219.5,2904.9,1273.5,2753,1389,-33.1579,1,1,1,1,1,1,4,0
342,1592,img/8134.jpg,8134,26746,,1292,788,328,396,1368,968,1484,964,1428,1060,-22.1399,,,,1,1,1,,0
342,1592,img/8112.jpg,8112,29991,,486.3333333,95.66666667,141,190.3333333,519.1111111,187.1111111,563.2222222,186.3333333,537.25,221.25,-12.9757,1,1,1,1,1,1,4,0
342,1592,img/8103.jpg,8103,22614,,1212,338,1228,1600,1404.6,1122.2,1690.25,1109.25,1502.909091,1425.818182,-34.2942,1,1,0,1,1,1,,0
342,1592,img/8151.jpg,8151,23700,,1362,821,468.8,622.8,1763.9,1153,,,1790.090909,1267.545455,,1,1,1,1,1,1,3,0
343,1592,img/8168.jpg,8168,25837,,1232,1588,128,168,1276,1676,1324,1672,1300,1708,-1.18219,0,0,1,1,1,1,0,
348,1592,img/8101.jpg,8101,22580,,2101,278.6666667,868.6666667,1203.5,2497.461538,930.7692308,2782.818182,859.8181818,2714.777778,1127.111111,9.66215,1,1,1,1,1,1,4,0
349,1592,img/8119.jpg,8119,27819,,1252,636,128,170,1333.818182,733.2727273,1367.7,736,1354.5,764.0833333,26.5654,1,1,1,0,1,1,3,0
3991,669,img/10779.jpg,10779,27754,,1123,300.4285714,269.4285714,271.1428571,,,,,,,,1,0,1,1,1,1,4,0
3991,669,img/4080.jpg,4080,25584,,157,77.33333333,135.3333333,178.6666667,248,194,279.1666667,187.3333333,266.7692308,219.4615385,,1,0,1,1,1,1,5,0
3991,669,img/10766.jpg,10766,23235,,157.75,89,181.5,237.625,219.6666667,205.6666667,278.8571429,210,246.9230769,255.3846154,-6.08677,1,0,1,1,1,1,4,0
3991,669,img/10781.jpg,10781,23549,,141.3333333,352.6666667,171.6666667,190.3333333,,,,,297.3846154,498.0769231,,1,0,1,1,1,1,4,0
3991,669,img/10786.jpg,10786,23798,,364,420.1428571,244,275.1428571,522.5,565.3333333,579.1666667,558.3333333,572.6153846,610.5384615,24.2536,1,0,1,1,1,1,,0
3991,669,img/10785.jpg,10785,30062,,906.8571429,563,378.1428571,429.5714286,1127.833333,791.3333333,1224.666667,756.5,1221.833333,855.9166667,16.6345,1,0,1,1,1,1,4,0
3991,669,img/10774.jpg,10774,27266,,689,215,145,192,749.6,340,799.25,333.75,781.5833333,372.5,0,1,0,1,1,1,1,4,0
3990,669,img/10774.jpg,10774,27266,,689,215,145,192,749.6,340,799.25,333.75,781.5833333,372.5,0,1,0,1,1,1,1,4,0
4930,1956,img/10008.jpg,10008,22130,,501.2857143,23.42857143,86.42857143,110,517.8181818,75.54545455,541.9,79.2,522.0769231,94.23076923,-18.9411,1,1,1,1,1,3,,1
4930,1956,img/10000.jpg,10000,27297,,87,15.6,54.8,64.4,132.5,52.5,,,138.8,62.2,,1,,1,1,1,3,3,1
4687,1155,img/5910.jpeg,5910,24965,,440.4,29.4,140.4,169,,,461.5,116.6666667,460.8461538,151.2307692,,0,0,1,0,1,1,3,3
4687,1155,img/5916.jpeg,5916,30141,,315.3333333,15.33333333,146.6666667,170.6666667,,,341,93.83333333,330.5,130.0833333,,1,0,1,1,1,1,3,3
4687,1155,img/5901.jpeg,5901,22750,,246.8571429,18.42857143,80,98.42857143,313.5,74,,,319,89.18181818,,1,1,1,0,1,1,,3
4687,1155,img/5909.jpeg,5909,25467,,372.3333333,26,64.33333333,82,392.2,70.8,413.1428571,70,402.6923077,85.61538462,-14.9414,0,1,1,0,1,1,3,3
4687,1155,img/5914.jpeg,5914,22507,,77.14285714,25,69.85714286,86.57142857,93,68.8,114,71.57142857,100,87.25,-14.8053,0,1,1,0,1,1,3,3
4687,1155,img/5918.JPG,5918,29612,,347.1428571,44.71428571,50.57142857,90.42857143,371.5,97,386,98.42857143,380.6923077,114.6923077,,0,1,0,1,1,1,3,3
4687,1155,img/5900.jpeg,5900,27369,,476,108.7142857,59.71428571,91.71428571,499.8,173.2,522.4,173,511.3333333,192.4166667,0,0,1,1,1,1,1,3,3
4687,1155,img/5920.jpeg,5920,22645,,472.3333333,88,66.33333333,85,507.8571429,136.2857143,526.2,134.6,520.6666667,150,23.4782,0,1,1,0,1,1,3,3
